# tmin,,,,,,,,,,,,,,,,,,,,,
,CLIM01,CLIM02,CLIM03,CLIM18,CLIM23,CLIM34,CLIM36,CLIM01,CLIM02,CLIM03,CLIM18,CLIM23,CLIM34,CLIM36,CLIM01,CLIM02,CLIM03,CLIM18,CLIM23,CLIM34,CLIM36
TIMESTEP,MEAN(K),MEAN(K),MEAN(K),MEAN(K),MEAN(K),MEAN(K),MEAN(K),VARIANCE(K^2),VARIANCE(K^2),VARIANCE(K^2),VARIANCE(K^2),VARIANCE(K^2),VARIANCE(K^2),VARIANCE(K^2),STD_DEV(K^2),STD_DEV(K^2),STD_DEV(K^2),STD_DEV(K^2),STD_DEV(K^2),STD_DEV(K^2),STD_DEV(K^2)
1979-01-01T00:00:00Z,254.371658,250.078812,253.287994,253.975693,255.089203,251.583817,250.601196,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-02T00:00:00Z,244.381119,242.326355,242.923752,244.503128,244.356522,241.794785,244.549286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-03T00:00:00Z,246.672058,246.826019,245.760452,247.456863,247.299881,245.200638,247.115723,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-04T00:00:00Z,245.757248,244.628296,244.947357,246.191162,246.195251,245.067871,245.718109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-05T00:00:00Z,242.130814,242.289398,241.394958,242.871597,242.716843,240.46698,243.326263,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-06T00:00:00Z,242.866013,244.551422,243.184784,243.40152,243.701553,242.137772,243.85376,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-07T00:00:00Z,247.89415,248.695755,248.56601,247.770615,247.716614,249.27713,247.732574,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-08T00:00:00Z,249.348404,247.262238,247.824524,249.502457,249.565262,246.26239,248.581818,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-09T00:00:00Z,252.849991,250.585739,251.007324,252.278992,252.862946,251.122955,251.104034,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-10T00:00:00Z,247.876877,245.531219,246.723038,247.491074,247.681412,245.720169,247.215576,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-11T00:00:00Z,243.859375,242.845139,242.722183,243.972931,243.825607,240.444214,244.363739,0,0,0,0,0,0,0,0,0,0,0,0,0,0
